"point_id";"hour_of_day";"yearly_hour_traffic";"yearly_traffic";"hourly_factor"
"01036V72288";17;28693;417915;0,0686575021236376
"01036V72288";18;24790;417915;0,0593182824258521
"01036V72288";19;20414;417915;0,0488472536281301
"01036V72288";20;15732;417915;0,0376440185205125
"01036V72288";21;11077;417915;0,0265053898520034
"01036V72288";22;7404;417915;0,0177165213021787
"01036V72288";23;4310;417915;0,0103131019465681
"02087V625292";0;52075;6298698;0,0082675816494139
"02087V625292";1;32541;6298698;0,00516630579843644
"02087V625292";2;21490;6298698;0,00341181621979654
"02087V625292";3;19138;6298698;0,00303840571495887
"02087V625292";4;21374;6298698;0,00339339971530624
"02087V625292";5;75939;6298698;0,0120563011593825
"02087V625292";6;328580;6298698;0,0521663365984526
"02087V625292";7;333971;6298698;0,053022227768342
"02087V625292";8;330375;6298698;0,0524513161291429
"02087V625292";9;319805;6298698;0,0507731915389498
"02087V625292";10;337320;6298698;0,0535539249540143
"02087V625292";11;376869;6298698;0,059832841644416
"02087V625292";12;394928;6298698;0,0626999421150212
"02087V625292";13;421921;6298698;0,0669854309573185
"02087V625292";14;470681;6298698;0,0747267133620313
"02087V625292";15;518834;6298698;0,0823716266441096
"02087V625292";16;523265;6298698;0,0830751053630449
"02087V625292";17;449147;6298698;0,0713079115715661
"02087V625292";18;364753;6298698;0,0579092695029989
"02087V625292";19;278388;6298698;0,0441977056210665
"02087V625292";20;222308;6298698;0,0352942782778282
"02087V625292";21;176848;6298698;0,0280769136732703
"02087V625292";22;136877;6298698;0,0217309990096366
"02087V625292";23;91271;6298698;0,014490455011496
"02489V121427";0;33609;3757544;0,00894440623982048
"02489V121427";1;19227;3757544;0,00511690614933584
"02489V121427";2;13961;3757544;0,00371545882097455
"02489V121427";3;8710;3757544;0,00231800346183571
"02489V121427";4;7406;3757544;0,00197096827076409
"02489V121427";5;18565;3757544;0,00494072724098507
"02489V121427";6;100488;3757544;0,0267430002150341
"02489V121427";7;229331;3757544;0,0610321529169053
"02489V121427";8;216434;3757544;0,0575998577794432
"02489V121427";9;160163;3757544;0,0426243844383459
"02489V121427";10;174617;3757544;0,0464710459810983
"02489V121427";11;198249;3757544;0,0527602604254268
"02489V121427";12;214358;3757544;0,0570473692390562
"02489V121427";13;235457;3757544;0,0626624731473537
"02489V121427";14;277135;3757544;0,0737542926975705
"02489V121427";15;363563;3757544;0,0967554870947619
"02489V121427";16;343333;3757544;0,0913716512700849
"02489V121427";17;268149;3757544;0,0713628370020418
"02489V121427";18;242055;3757544;0,0644184073426685
"02489V121427";19;212793;3757544;0,0566308737835139
"02489V121427";20;156938;3757544;0,0417661110555192
"02489V121427";21;120897;3757544;0,0321744735390989
"02489V121427";22;88943;3757544;0,0236705145701554
"02489V121427";23;53163;3757544;0,0141483373182057
"02677V885310";0;1138;223210;0,00509833788808745
"02677V885310";1;886;223210;0,00396935621163926
"02677V885310";2;448;223210;0,00200707853590789
"02677V885310";3;396;223210;0,00177411406299001
"02677V885310";4;365;223210;0,00163523139644281
"02677V885310";5;664;223210;0,00297477711572062
"02677V885310";6;5176;223210;0,0231889252273644
"02677V885310";7;12693;223210;0,056865731822051
"02677V885310";8;11404;223210;0,0510909009452981
"02677V885310";9;11876;223210;0,0532055015456297
"02677V885310";10;12664;223210;0,0567358093275391
"02677V885310";11;16324;223210;0,0731329241521437
"02677V885310";12;16299;223210;0,0730209220017024
"02677V885310";13;16099;223210;0,0721249047981721
"02677V885310";14;17886;223210;0,0801308185117154
"02677V885310";15;22121;223210;0,0991039827964697
"02677V885310";16;15750;223210;0,0705613547780117
"02677V885310";17;14004;223210;0,0627391245911921
"02677V885310";18;13241;223210;0,059320818959724
"02677V885310";19;11390;223210;0,051028179741051
"02677V885310";20;8896;223210;0,0398548452130281
"02677V885310";21;6646;223210;0,0297746516733121
"02677V885310";22;4648;223210;0,0208234398100444
"02677V885310";23;2196;223210;0,00983826889476278
"03093V886126";0;3194;730422;0,00437281461949394
"03093V886126";1;1617;730422;0,00221378874130297
"03093V886126";2;885;730422;0,0012116283463532
"03093V886126";3;969;730422;0,00132663035888842
"03093V886126";4;3724;730422;0,00509842255572806
"03093V886126";5;9689;730422;0,0132649345173064
"03093V886126";6;12305;730422;0,0168464257648318
"03093V886126";7;30004;730422;0,0410776236203181
"03093V886126";8;53381;730422;0,0730824098945541
"03093V886126";9;43189;730422;0,0591288323736142
"03093V886126";10;48371;730422;0,0662233612897749
"03093V886126";11;51045;730422;0,0698842586888128
"03093V886126";12;47707;730422;0,0653142977621156
"03093V886126";13;61631;730422;0,084377250411406
"03093V886126";14;55165;730422;0,0755248335893497
"03093V886126";15;62864;730422;0,0860653156668337
"03093V886126";16;48516;730422;0,066421876668556
"03093V886126";17;38338;730422;0,0524874661497052
"03093V886126";18;35014;730422;0,0479366722250973
"03093V886126";19;39205;730422;0,053674451207658
"03093V886126";20;31132;730422;0,0426219363600768
"03093V886126";21;31650;730422;0,0433311154373773
"03093V886126";22;14206;730422;0,0194490308342301
"03093V886126";23;6621;730422;0,00906462291661533
"03520V1175848";0;67601;9645309;0,00700869199732222
"03520V1175848";1;43386;9645309;0,00449814516051274
"03520V1175848";2;34246;9645309;0,00355053425452725
"03520V1175848";3;22837;9645309;0,00236767945951757
"03520V1175848";4;24480;9645309;0,00253802133244254
"03520V1175848";5;64823;9645309;0,00672067634121416
"03520V1175848";6;286588;9645309;0,0297126820924037
"03520V1175848";7;549659;9645309;0,0569871841327219
"03520V1175848";8;509727;9645309;0,0528471405115171
"03520V1175848";9;431499;9645309;0,0447366694006382
"03520V1175848";10;518820;9645309;0,053789878582428
"03520V1175848";11;609874;9645309;0,0632301152819469
"03520V1175848";12;644819;9645309;0,0668531199985402
"03520V1175848";13;688715;9645309;0,0714041406034789
"03520V1175848";14;749789;9645309;0,0777361305894917
"03520V1175848";15;883488;9645309;0,0915976875390928
"03520V1175848";16;814827;9645309;0,0844790975592384
"03520V1175848";17;681015;9645309;0,07060582506999
"03520V1175848";18;579484;9645309;0,0600793608582162
"03520V1175848";19;470866;9645309;0,0488181353236065
"03520V1175848";20;363021;9645309;0,0376370523743718
"03520V1175848";21;289802;9645309;0,0300459010696288
"03520V1175848";22;198849;9645309;0,020616135781653
"03520V1175848";23;117094;9645309;0,0121399946854994
"04939V804763";0;328;66016;0,0049684924866699
"04939V804763";1;210;66016;0,00318104701890451
"04939V804763";2;345;66016;0,00522600581677169
"04939V804763";3;197;66016;0,00298412506059137
"04939V804763";4;202;66016;0,00305986427532719
"04939V804763";5;1268;66016;0,0192074648570044
"04939V804763";6;5060;66016;0,0766480853126515
"04939V804763";7;3773;66016;0,057152811439651
"04939V804763";8;3307;66016;0,0500939166262724
"04939V804763";9;3595;66016;0,0544564953950557
"04939V804763";10;4167;66016;0,0631210615608337
"04939V804763";11;4273;66016;0,0647267329132332
"04939V804763";12;4115;66016;0,0623333737275812
"04939V804763";13;4070;66016;0,0616517207949588
"04939V804763";14;4387;66016;0,0664535870092099
"04939V804763";15;6084;66016;0,0921594764905477
"04939V804763";16;5299;66016;0,0802684197770238
"04939V804763";17;4230;66016;0,0640753756665051
"04939V804763";18;3509;66016;0,0531537809015996
"04939V804763";19;2689;66016;0,0407325496849249
"04939V804763";20;2055;66016;0,0311288172564227
"04939V804763";21;1522;66016;0,0230550169655841
"04939V804763";22;859;66016;0,0130119970916142
"04939V804763";23;472;66016;0,00714978187106156
"05960V384024";0;4395;895095;0,00491009334204749
"05960V384024";1;2874;895095;0,00321083236974846
"05960V384024";2;2996;895095;0,00334713075148448
"05960V384024";3;1871;895095;0,00209028091990236
"05960V384024";4;2585;895095;0,00288796161301314
"05960V384024";5;5370;895095;0,00599936319608533
"05960V384024";6;20363;895095;0,0227495405515616
"05960V384024";7;47051;895095;0,0525653701562404
"05960V384024";8;44958;895095;0,0502270708695725
"05960V384024";9;45217;895095;0,050516425630799
"05960V384024";10;49415;895095;0,0552064306023383
"05960V384024";11;56390;895095;0,0629988995581475
"05960V384024";12;60369;895095;0,0674442377624721
"05960V384024";13;64688;895095;0,0722694239158972
"05960V384024";14;71097;895095;0,0794295577564393
"05960V384024";15;87060;895095;0,0972634189667019
"05960V384024";16;85554;895095;0,0955809159921573
"05960V384024";17;64915;895095;0,0725230282819142
"05960V384024";18;51680;895095;0,057736888263257
"05960V384024";19;41902;895095;0,0468129081270703
"05960V384024";20;31508;895095;0,0352007328831018
"05960V384024";21;25281;895095;0,0282439294153135
"05960V384024";22;18347;895095;0,0204972656533664
"05960V384024";23;9209;895095;0,0102882934213687
"06362V2533432";0;7417;1226496;0,00604730875600084
"06362V2533432";1;4951;1226496;0,00403670293258192
"06362V2533432";2;3675;1226496;0,00299634079524108
"06362V2533432";3;2275;1226496;0,00185487763514924
"06362V2533432";4;2314;1226496;0,00188667553746608
"06362V2533432";5;8265;1226496;0,00673870929868503
"06362V2533432";6;33470;1226496;0,0272891228344813
"06362V2533432";7;63563;1226496;0,0518248734606554
"06362V2533432";8;65611;1226496;0,053494670997704
"06362V2533432";9;56598;1226496;0,0461460942391985
"06362V2533432";10;72486;1226496;0,0591000704445836
"06362V2533432";11;85720;1226496;0,069890158630766
"06362V2533432";12;89392;1226496;0,0728840534335212
"06362V2533432";13;95462;1226496;0,0778331115633479
"06362V2533432";14;105297;1226496;0,0858518902629931
"06362V2533432";15;126260;1226496;0,102943670423711
"06362V2533432";16;92061;1226496;0,0750601714151534
"06362V2533432";17;73798;1226496;0,0601697844917554
"06362V2533432";18;65367;1226496;0,0532957302755166
"06362V2533432";19;57969;1226496;0,0472639128052599
"06362V2533432";20;41956;1226496;0,0342080202462951
"06362V2533432";21;35019;1226496;0,0285520702880401
"06362V2533432";22;25704;1226496;0,0209572636192862
"06362V2533432";23;11866;1226496;0,00967471561260697
"06938V521177";0;49682;6778703;0,0073291306611309
"06938V521177";1;32701;6778703;0,00482407917856853
"06938V521177";2;27224;6778703;0,00401610750611142
"06938V521177";3;20904;6778703;0,0030837757606433
"06938V521177";4;18446;6778703;0,00272116952166218
"06938V521177";5;50401;6778703;0,00743519814926248
"06938V521177";6;218023;6778703;0,0321629373642716
"06938V521177";7;358692;6778703;0,0529145472223816
"06938V521177";8;336705;6778703;0,0496710063857349
"06938V521177";9;320825;6778703;0,0473283753544004
"06938V521177";10;376173;6778703;0,055493359127845
"06938V521177";11;438988;6778703;0,0647598810568924
"06938V521177";12;472904;6778703;0,0697631980631103
"06938V521177";13;507704;6778703;0,0748969234970171
"06938V521177";14;537521;6778703;0,0792955525562929
"06938V521177";15;576828;6778703;0,0850941544422288
"06938V521177";16;519938;6778703;0,0767016935245577
"06938V521177";17;457711;6778703;0,0675219138528418
"06938V521177";18;405203;6778703;0,0597758892814746
"06938V521177";19;334714;6778703;0,0493772923817432
"06938V521177";20;265296;6778703;0,0391366903078657
"06938V521177";21;204335;6778703;0,0301436720269349
"06938V521177";22;158472;6778703;0,0233779234759216
"06938V521177";23;89313;6778703;0,0131755293011067
"06966V971804";0;28401;4314159;0,0065832065994786
"06966V971804";1;19096;4314159;0,00442635517142507
"06966V971804";2;13346;4314159;0,00309353456838285
"06966V971804";3;9465;4314159;0,00219393861005123
"06966V971804";4;9466;4314159;0,00219417040493871
"06966V971804";5;31359;4314159;0,00726885587666101
"06966V971804";6;144133;4314159;0,0334092925179624
"06966V971804";7;230745;4314159;0,0534855113128654
"06966V971804";8;201659;4314159;0,0467435252154591
"06966V971804";9;192008;4314159;0,0445064727563356
