trp,"speed_range",Count
03554V1175655,"from:0,to:15",266
03554V1175655,"from:15,to:300",53171
75774V1060655,"from:0,to:15",6
75774V1060655,"from:15,to:300",53268
46293V2172092,"from:0,to:15",0
46293V2172092,"from:15,to:300",53179
39059V1175848,"from:0,to:15",304
39059V1175848,"from:15,to:300",52869
30201V1175821,"from:0,to:15",5
30201V1175821,"from:15,to:300",53097
49336V319918,"from:0,to:15",140
49336V319918,"from:15,to:300",52948
36562V971545,"from:0,to:15",47
36562V971545,"from:15,to:300",52982
08255V705294,"from:0,to:15",506
08255V705294,"from:15,to:300",52514
10349V444025,"from:0,to:15",1
10349V444025,"from:15,to:300",52988
44083V319868,"from:0,to:15",5468
44083V319868,"from:15,to:300",47385
07643V2368074,"from:0,to:15",265
07643V2368074,"from:15,to:300",52430
89041V625265,"from:0,to:15",340
89041V625265,"from:15,to:300",52294
25697V443622,"from:0,to:15",1630
25697V443622,"from:15,to:300",50996
76429V2548000,"from:0,to:15",359
76429V2548000,"from:15,to:300",52148
06966V971804,"from:0,to:15",710
06966V971804,"from:15,to:300",51598
57279V320244,"from:0,to:15",43
57279V320244,"from:15,to:300",52087
61592V443890,"from:0,to:15",3295
61592V443890,"from:15,to:300",48805
86675V1060056,"from:0,to:15",0
86675V1060056,"from:15,to:300",52035
91460V1665980,"from:0,to:15",1
91460V1665980,"from:15,to:300",51997
23620V443607,"from:0,to:15",351
23620V443607,"from:15,to:300",51581
40308V72241,"from:0,to:15",1
40308V72241,"from:15,to:300",51774
70361V249595,"from:0,to:15",6
70361V249595,"from:15,to:300",51620
26420V805748,"from:0,to:15",171
26420V805748,"from:15,to:300",51359
49658V804949,"from:0,to:15",21
49658V804949,"from:15,to:300",51460
71241V2460301,"from:0,to:15",2849
71241V2460301,"from:15,to:300",48579
27139V121510,"from:0,to:15",111
27139V121510,"from:15,to:300",51278
69547V885213,"from:0,to:15",18
69547V885213,"from:15,to:300",51292
09081V1822315,"from:0,to:15",868
09081V1822315,"from:15,to:300",50396
13279V248971,"from:0,to:15",6
13279V248971,"from:15,to:300",51156
32825V521440,"from:0,to:15",19
32825V521440,"from:15,to:300",51130
72438V180781,"from:0,to:15",11
72438V180781,"from:15,to:300",51099
08132V1984223,"from:0,to:15",195
08132V1984223,"from:15,to:300",50736
52778V1175506,"from:0,to:15",375
52778V1175506,"from:15,to:300",50477
18512V1665976,"from:0,to:15",0
18512V1665976,"from:15,to:300",50846
86702V971481,"from:0,to:15",753
86702V971481,"from:15,to:300",50089
16334V971464,"from:0,to:15",5
16334V971464,"from:15,to:300",50813
04904V971774,"from:0,to:15",110
04904V971774,"from:15,to:300",50676
02466V121760,"from:0,to:15",83
02466V121760,"from:15,to:300",50649
00492V443603,"from:0,to:15",3374
00492V443603,"from:15,to:300",47248
39427V444105,"from:0,to:15",42
39427V444105,"from:15,to:300",50447
59036V1175765,"from:0,to:15",417
59036V1175765,"from:15,to:300",50064
77294V2571508,"from:0,to:15",16
77294V2571508,"from:15,to:300",50449
11192V805709,"from:0,to:15",46
11192V805709,"from:15,to:300",50386
17208V971599,"from:0,to:15",113
17208V971599,"from:15,to:300",50190
45216V444012,"from:0,to:15",4
45216V444012,"from:15,to:300",50206
31958V1125796,"from:0,to:15",1
31958V1125796,"from:15,to:300",50039
39256V181280,"from:0,to:15",0
39256V181280,"from:15,to:300",49952
88046V1874722,"from:0,to:15",26
88046V1874722,"from:15,to:300",49915
36178V320198,"from:0,to:15",1740
36178V320198,"from:15,to:300",48148
14487V2479113,"from:0,to:15",506
14487V2479113,"from:15,to:300",49349
00222V444290,"from:0,to:15",762
00222V444290,"from:15,to:300",48907
33966V521377,"from:0,to:15",3
33966V521377,"from:15,to:300",49594
14570V320273,"from:0,to:15",2290
14570V320273,"from:15,to:300",47300
69193V248908,"from:0,to:15",1
69193V248908,"from:15,to:300",49528
34150V804808,"from:0,to:15",58
34150V804808,"from:15,to:300",49450
21556V319919,"from:0,to:15",9
21556V319919,"from:15,to:300",49454
43672V804832,"from:0,to:15",30
43672V804832,"from:15,to:300",49357
29852V2460300,"from:0,to:15",21
29852V2460300,"from:15,to:300",49186
62250V1175545,"from:0,to:15",3
62250V1175545,"from:15,to:300",49189
13980V1126353,"from:0,to:15",738
13980V1126353,"from:15,to:300",48378
03829V804778,"from:0,to:15",74
03829V804778,"from:15,to:300",49015
85085V805128,"from:0,to:15",137
85085V805128,"from:15,to:300",48932
16184V1060614,"from:0,to:15",0
16184V1060614,"from:15,to:300",48933
17681V704560,"from:0,to:15",235
17681V704560,"from:15,to:300",48549
87557V180903,"from:0,to:15",2
87557V180903,"from:15,to:300",48663
87610V1811579,"from:0,to:15",0
87610V1811579,"from:15,to:300",48643
23111V704635,"from:0,to:15",9
23111V704635,"from:15,to:300",48430
17769V1175834,"from:0,to:15",640
17769V1175834,"from:15,to:300",47708
48148V1175464,"from:0,to:15",17
48148V1175464,"from:15,to:300",48328
71595V971806,"from:0,to:15",99
71595V971806,"from:15,to:300",48120
80360V72241,"from:0,to:15",0
80360V72241,"from:15,to:300",48047
25078V1175850,"from:0,to:15",80
25078V1175850,"from:15,to:300",47939
02489V121427,"from:0,to:15",12
02489V121427,"from:15,to:300",47968
37879V2488949,"from:0,to:15",1318
37879V2488949,"from:15,to:300",46659
37692V1827282,"from:0,to:15",0
37692V1827282,"from:15,to:300",47667
93379V1126309,"from:0,to:15",3577
93379V1126309,"from:15,to:300",43960
00000V1702725,"from:0,to:15",4
00000V1702725,"from:15,to:300",47486
33784V1667751,"from:0,to:15",5
33784V1667751,"from:15,to:300",47466
79403V1175511,"from:0,to:15",151
79403V1175511,"from:15,to:300",47285
85147V1201967,"from:0,to:15",3
85147V1201967,"from:15,to:300",47364
51029V625643,"from:0,to:15",4413
51029V625643,"from:15,to:300",42907
25585V578602,"from:0,to:15",45
25585V578602,"from:15,to:300",47213
77436V319718,"from:0,to:15",82
77436V319718,"from:15,to:300",47170
59199V72809,"from:0,to:15",0
59199V72809,"from:15,to:300",47165
01368V384495,"from:0,to:15",1628
01368V384495,"from:15,to:300",45516
70080V2583668,"from:0,to:15",0
70080V2583668,"from:15,to:300",47073
93232V444346,"from:0,to:15",14
93232V444346,"from:15,to:300",47055
14775V443441,"from:0,to:15",1
14775V443441,"from:15,to:300",47050
53289V804779,"from:0,to:15",1125
53289V804779,"from:15,to:300",45840
70224V2037780,"from:0,to:15",9
70224V2037780,"from:15,to:300",46842
80646V1060116,"from:0,to:15",2
80646V1060116,"from:15,to:300",46692
98318V930235,"from:0,to:15",615
98318V930235,"from:15,to:300",45841
13104V1126310,"from:0,to:15",984
13104V1126310,"from:15,to:300",45439
88800V521399,"from:0,to:15",8
88800V521399,"from:15,to:300",46292
95703V2037788,"from:0,to:15",3
95703V2037788,"from:15,to:300",46249
75341V41863,"from:0,to:15",169
75341V41863,"from:15,to:300",46080
15798V2507685,"from:0,to:15",800
15798V2507685,"from:15,to:300",45431
23392V625266,"from:0,to:15",990
23392V625266,"from:15,to:300",45023
79902V804834,"from:0,to:15",4
79902V804834,"from:15,to:300",45997
09776V705217,"from:0,to:15",14
09776V705217,"from:15,to:300",45669
47932V805038,"from:0,to:15",5
47932V805038,"from:15,to:300",45543
51934V2523546,"from:0,to:15",24
51934V2523546,"from:15,to:300",45421
86207V319742,"from:0,to:15",49
86207V319742,"from:15,to:300",45345
01615V443711,"from:0,to:15",21
01615V443711,"from:15,to:300",45209
06850V1175466,"from:0,to:15",940
06850V1175466,"from:15,to:300",44105
82819V248945,"from:0,to:15",254
82819V248945,"from:15,to:300",44621
40748V443711,"from:0,to:15",46
40748V443711,"from:15,to:300",44775
69931V443604,"from:0,to:15",4
69931V443604,"from:15,to:300",44813
96247V320607,"from:0,to:15",104
96247V320607,"from:15,to:300",44490
16799V248977,"from:0,to:15",23
16799V248977,"from:15,to:300",44554
49728V21778,"from:0,to:15",31
49728V21778,"from:15,to:300",44476
90646V1201961,"from:0,to:15",48
90646V1201961,"from:15,to:300",44375
59306V121493,"from:0,to:15",66
59306V121493,"from:15,to:300",44243
03819V320689,"from:0,to:15",973
03819V320689,"from:15,to:300",43265
17544V1787893,"from:0,to:15",21
17544V1787893,"from:15,to:300",44199
99254V1696548,"from:0,to:15",104
99254V1696548,"from:15,to:300",43934
65035V248952,"from:0,to:15",208
65035V248952,"from:15,to:300",43679
58042V1060046,"from:0,to:15",0
58042V1060046,"from:15,to:300",43819
16849V805748,"from:0,to:15",40
16849V805748,"from:15,to:300",43710
71081V443831,"from:0,to:15",598
71081V443831,"from:15,to:300",43003
13290V1060653,"from:0,to:15",83
13290V1060653,"from:15,to:300",43466
28387V444290,"from:0,to:15",0
28387V444290,"from:15,to:300",43436
89007V625589,"from:0,to:15",894
89007V625589,"from:15,to:300",42483
25260V1175672,"from:0,to:15",183
25260V1175672,"from:15,to:300",43105
54474V320611,"from:0,to:15",2
54474V320611,"from:15,to:300",43228
72220V805744,"from:0,to:15",42
72220V805744,"from:15,to:300",43161
14444V2005568,"from:0,to:15",383
14444V2005568,"from:15,to:300",42635
24650V320633,"from:0,to:15",15
24650V320633,"from:15,to:300",42941
14051V2499835,"from:0,to:15",0
14051V2499835,"from:15,to:300",42930
90390V443603,"from:0,to:15",2
90390V443603,"from:15,to:300",42879
33902V320184,"from:0,to:15",21
33902V320184,"from:15,to:300",42803
90656V41781,"from:0,to:15",1936
90656V41781,"from:15,to:300",40827
32982V443679,"from:0,to:15",150
32982V443679,"from:15,to:300",42608
27019V805142,"from:0,to:15",1175
27019V805142,"from:15,to:300",41484
83347V805435,"from:0,to:15",109
83347V805435,"from:15,to:300",42374
25132V805616,"from:0,to:15",11
25132V805616,"from:15,to:300",42441
98841V885940,"from:0,to:15",21
98841V885940,"from:15,to:300",42392
91169V1801368,"from:0,to:15",1
91169V1801368,"from:15,to:300",42305
71787V2269011,"from:0,to:15",35
71787V2269011,"from:15,to:300",42255
35666V443378,"from:0,to:15",6
35666V443378,"from:15,to:300",42269
88864V521377,"from:0,to:15",0
88864V521377,"from:15,to:300",42269
72320V705293,"from:0,to:15",39
72320V705293,"from:15,to:300",42225
50741V1727509,"from:0,to:15",3
50741V1727509,"from:15,to:300",42191
41100V444019,"from:0,to:15",116
41100V444019,"from:15,to:300",42076
82840V2518807,"from:0,to:15",0
82840V2518807,"from:15,to:300",42164
16271V444295,"from:0,to:15",2
16271V444295,"from:15,to:300",42153
00344V521377,"from:0,to:15",4
00344V521377,"from:15,to:300",42129
94272V249076,"from:0,to:15",198
94272V249076,"from:15,to:300",41882
80669V444288,"from:0,to:15",44
80669V444288,"from:15,to:300",41977
38645V181031,"from:0,to:15",67
38645V181031,"from:15,to:300",41938
27857V444273,"from:0,to:15",105
27857V444273,"from:15,to:300",41873
99483V705274,"from:0,to:15",1308
99483V705274,"from:15,to:300",40670
04474V1060615,"from:0,to:15",0
04474V1060615,"from:15,to:300",41890
37187V971514,"from:0,to:15",12
37187V971514,"from:15,to:300",41444
23412V804831,"from:0,to:15",12
23412V804831,"from:15,to:300",41442
22331V248904,"from:0,to:15",2
22331V248904,"from:15,to:300",41442
10763V384339,"from:0,to:15",116
10763V384339,"from:15,to:300",41321
17155V2518835,"from:0,to:15",0
17155V2518835,"from:15,to:300",41418
25478V2389482,"from:0,to:15",2489
25478V2389482,"from:15,to:300",38806
01085V1875040,"from:0,to:15",0
01085V1875040,"from:15,to:300",41224
35382V1727514,"from:0,to:15",1384
35382V1727514,"from:15,to:300",39763
41471V443658,"from:0,to:15",6
41471V443658,"from:15,to:300",41123
79110V444262,"from:0,to:15",23
79110V444262,"from:15,to:300",41027
43379V443819,"from:0,to:15",974
43379V443819,"from:15,to:300",39968
57808V2282277,"from:0,to:15",0
57808V2282277,"from:15,to:300",40919
03364V971801,"from:0,to:15",51
03364V971801,"from:15,to:300",40851
44155V1060152,"from:0,to:15",5
44155V1060152,"from:15,to:300",40833
14354V444104,"from:0,to:15",0
14354V444104,"from:15,to:300",40767
33324V521399,"from:0,to:15",7
33324V521399,"from:15,to:300",40599
06273V1126310,"from:0,to:15",123
06273V1126310,"from:15,to:300",40459
63407V444241,"from:0,to:15",1
63407V444241,"from:15,to:300",40529
42011V443823,"from:0,to:15",750
42011V443823,"from:15,to:300",39654
94767V804742,"from:0,to:15",3721
94767V804742,"from:15,to:300",36657
05293V1125916,"from:0,to:15",207
05293V1125916,"from:15,to:300",40114
07752V625591,"from:0,to:15",17
07752V625591,"from:15,to:300",40295
03999V320544,"from:0,to:15",66
03999V320544,"from:15,to:300",40184
05658V320707,"from:0,to:15",37
05658V320707,"from:15,to:300",40129
28020V121748,"from:0,to:15",342
28020V121748,"from:15,to:300",39701
78996V930347,"from:0,to:15",4777
78996V930347,"from:15,to:300",35157
40190V319527,"from:0,to:15",3
40190V319527,"from:15,to:300",39826
88478V22214,"from:0,to:15",113
88478V22214,"from:15,to:300",39639
09389V443429,"from:0,to:15",46
09389V443429,"from:15,to:300",39653
99259V805430,"from:0,to:15",13
99259V805430,"from:15,to:300",39683
12021V805693,"from:0,to:15",467
12021V805693,"from:15,to:300",39188
45587V384040,"from:0,to:15",486
45587V384040,"from:15,to:300",39095
05224V249575,"from:0,to:15",6
05224V249575,"from:15,to:300",39461
27372V72852,"from:0,to:15",1023
27372V72852,"from:15,to:300",38249
07937V1886018,"from:0,to:15",3891
07937V1886018,"from:15,to:300",35314
07156V248908,"from:0,to:15",1
07156V248908,"from:15,to:300",39184
68164V249595,"from:0,to:15",1293
68164V249595,"from:15,to:300",37852
82731V2409912,"from:0,to:15",0
82731V2409912,"from:15,to:300",39138
01085V22215,"from:0,to:15",100
01085V22215,"from:15,to:300",39029
84563V121371,"from:0,to:15",2
84563V121371,"from:15,to:300",39093
33926V2721315,"from:0,to:15",145
33926V2721315,"from:15,to:300",38874
80982V249217,"from:0,to:15",1500
80982V249217,"from:15,to:300",37493
32158V2482021,"from:0,to:15",78
32158V2482021,"from:15,to:300",38747
98723V971842,"from:0,to:15",1008
98723V971842,"from:15,to:300",37790
21801V72158,"from:0,to:15",2778
21801V72158,"from:15,to:300",36014
70948V2482020,"from:0,to:15",6
70948V2482020,"from:15,to:300",38753
41204V141743,"from:0,to:15",1254
41204V141743,"from:15,to:300",37297
52742V2282262,"from:0,to:15",3
52742V2282262,"from:15,to:300",38514
48786V2583662,"from:0,to:15",0
48786V2583662,"from:15,to:300",38481
12556V121486,"from:0,to:15",0
12556V121486,"from:15,to:300",38443
68960V578600,"from:0,to:15",1
68960V578600,"from:15,to:300",38290
10236V72161,"from:0,to:15",1639
10236V72161,"from:15,to:300",36598
22943V1060116,"from:0,to:15",6
22943V1060116,"from:15,to:300",38156
86779V805748,"from:0,to:15",4517
86779V805748,"from:15,to:300",33636
16231V249213,"from:0,to:15",93
16231V249213,"from:15,to:300",38046
51938V443842,"from:0,to:15",2399
51938V443842,"from:15,to:300",35734
13617V2518814,"from:0,to:15",1
13617V2518814,"from:15,to:300",37977
58182V1787571,"from:0,to:15",23
58182V1787571,"from:15,to:300",37768
33547V444051,"from:0,to:15",2
33547V444051,"from:15,to:300",37708
84996V1060616,"from:0,to:15",0
84996V1060616,"from:15,to:300",37707
60900V248916,"from:0,to:15",179
60900V248916,"from:15,to:300",37479
21987V1175583,"from:0,to:15",4
21987V1175583,"from:15,to:300",37571
45995V320592,"from:0,to:15",13
45995V320592,"from:15,to:300",37505
26467V121457,"from:0,to:15",5
26467V121457,"from:15,to:300",37451
26489V521174,"from:0,to:15",8
26489V521174,"from:15,to:300",37429
57587V805035,"from:0,to:15",2605
57587V805035,"from:15,to:300",34815
61693V971813,"from:0,to:15",30
61693V971813,"from:15,to:300",37383
36935V72359,"from:0,to:15",736
36935V72359,"from:15,to:300",36667
19425V885198,"from:0,to:15",8
19425V885198,"from:15,to:300",37171
68385V320580,"from:0,to:15",4
68385V320580,"from:15,to:300",37152
86957V885288,"from:0,to:15",52
86957V885288,"from:15,to:300",37104
28001V971448,"from:0,to:15",5
28001V971448,"from:15,to:300",37142
13087V521202,"from:0,to:15",399
13087V521202,"from:15,to:300",36647
69586V1175703,"from:0,to:15",369
69586V1175703,"from:15,to:300",36615
68607V1060327,"from:0,to:15",0
68607V1060327,"from:15,to:300",36934
26849V121777,"from:0,to:15",10
26849V121777,"from:15,to:300",36872
90132V805016,"from:0,to:15",24
90132V805016,"from:15,to:300",36837
04929V704558,"from:0,to:15",9
04929V704558,"from:15,to:300",36839
11315V1685366,"from:0,to:15",219
11315V1685366,"from:15,to:300",36509
34157V2312145,"from:0,to:15",7
34157V2312145,"from:15,to:300",36653
59844V704830,"from:0,to:15",244
59844V704830,"from:15,to:300",36352
09105V320634,"from:0,to:15",20
09105V320634,"from:15,to:300",36543
30703V180924,"from:0,to:15",2
30703V180924,"from:15,to:300",36561
86634V2038034,"from:0,to:15",2
86634V2038034,"from:15,to:300",36468
44165V521254,"from:0,to:15",41
44165V521254,"from:15,to:300",36378
53385V249032,"from:0,to:15",13
53385V249032,"from:15,to:300",36355
57836V319878,"from:0,to:15",194
57836V319878,"from:15,to:300",36141
01521V249521,"from:0,to:15",55
01521V249521,"from:15,to:300",36138
44395V443794,"from:0,to:15",13
44395V443794,"from:15,to:300",36133
42954V320585,"from:0,to:15",0
42954V320585,"from:15,to:300",35913
64472V141952,"from:0,to:15",56
64472V141952,"from:15,to:300",35712
10924V2275488,"from:0,to:15",26
10924V2275488,"from:15,to:300",35692
62963V1060678,"from:0,to:15",0
62963V1060678,"from:15,to:300",35700
14340V181285,"from:0,to:15",1
14340V181285,"from:15,to:300",35666
10795V320297,"from:0,to:15",31
10795V320297,"from:15,to:300",35546
74984V1060687,"from:0,to:15",106
74984V1060687,"from:15,to:300",35357
55647V444294,"from:0,to:15",3
55647V444294,"from:15,to:300",35356
85679V1060055,"from:0,to:15",252
85679V1060055,"from:15,to:300",34943
78505V2312159,"from:0,to:15",1146
78505V2312159,"from:15,to:300",34018
64407V2100984,"from:0,to:15",94
64407V2100984,"from:15,to:300",35041
16467V249421,"from:0,to:15",639
16467V249421,"from:15,to:300",34461
41221V704557,"from:0,to:15",0
41221V704557,"from:15,to:300",35098
14103V704626,"from:0,to:15",4
14103V704626,"from:15,to:300",35076
92067V21855,"from:0,to:15",95
92067V21855,"from:15,to:300",34878
14263V1060191,"from:0,to:15",3
14263V1060191,"from:15,to:300",34943
73920V1175851,"from:0,to:15",87
73920V1175851,"from:15,to:300",34709
84967V625637,"from:0,to:15",0
84967V625637,"from:15,to:300",34774
97982V1126318,"from:0,to:15",3
97982V1126318,"from:15,to:300",34697
16720V22149,"from:0,to:15",11
16720V22149,"from:15,to:300",34645
04712V2518836,"from:0,to:15",850
04712V2518836,"from:15,to:300",33508
97687V72808,"from:0,to:15",0
97687V72808,"from:15,to:300",34293
95081V72156,"from:0,to:15",1
95081V72156,"from:15,to:300",34193
77027V1207593,"from:0,to:15",66
77027V1207593,"from:15,to:300",34080
02345V805724,"from:0,to:15",13
02345V805724,"from:15,to:300",34038
17120V1175873,"from:0,to:15",609
17120V1175873,"from:15,to:300",33416
20697V805009,"from:0,to:15",1452
20697V805009,"from:15,to:300",32571
66234V2511478,"from:0,to:15",154
66234V2511478,"from:15,to:300",33703
37884V384499,"from:0,to:15",9
37884V384499,"from:15,to:300",33689
55153V805604,"from:0,to:15",4
55153V805604,"from:15,to:300",33656
44000V1944383,"from:0,to:15",100
44000V1944383,"from:15,to:300",33518
50892V971562,"from:0,to:15",37
50892V971562,"from:15,to:300",33573
11128V249021,"from:0,to:15",160
11128V249021,"from:15,to:300",33378
17684V2460285,"from:0,to:15",1089
17684V2460285,"from:15,to:300",32359
64673V320066,"from:0,to:15",1
64673V320066,"from:15,to:300",33445
97081V1175731,"from:0,to:15",196
97081V1175731,"from:15,to:300",33219
68598V1060115,"from:0,to:15",38
68598V1060115,"from:15,to:300",33376
65625V41945,"from:0,to:15",104
65625V41945,"from:15,to:300",33304
18619V2688405,"from:0,to:15",105
18619V2688405,"from:15,to:300",33246
35551V521381,"from:0,to:15",3
35551V521381,"from:15,to:300",33329
89787V249576,"from:0,to:15",2
89787V249576,"from:15,to:300",33319
30887V319846,"from:0,to:15",220
30887V319846,"from:15,to:300",33025
41273V805613,"from:0,to:15",22
41273V805613,"from:15,to:300",33199
18674V443880,"from:0,to:15",29
18674V443880,"from:15,to:300",33170
52780V320689,"from:0,to:15",19
52780V320689,"from:15,to:300",33152
85413V249430,"from:0,to:15",17
85413V249430,"from:15,to:300",33103
04873V320700,"from:0,to:15",1
04873V320700,"from:15,to:300",32969
66328V1175856,"from:0,to:15",4
66328V1175856,"from:15,to:300",32964
49962V704746,"from:0,to:15",14
49962V704746,"from:15,to:300",32849
31498V2574580,"from:0,to:15",110
31498V2574580,"from:15,to:300",32727
11693V443793,"from:0,to:15",282
11693V443793,"from:15,to:300",32469
67004V22180,"from:0,to:15",13
67004V22180,"from:15,to:300",32701
86451V805010,"from:0,to:15",540
86451V805010,"from:15,to:300",32152
19302V1175853,"from:0,to:15",20
19302V1175853,"from:15,to:300",32661
17157V384339,"from:0,to:15",101
17157V384339,"from:15,to:300",32540
49306V704987,"from:0,to:15",2604
49306V704987,"from:15,to:300",29967
54640V705275,"from:0,to:15",413
54640V705275,"from:15,to:300",32150
40877V805709,"from:0,to:15",4
40877V805709,"from:15,to:300",32469
47762V971800,"from:0,to:15",24
47762V971800,"from:15,to:300",32449
07607V249425,"from:0,to:15",1614
07607V249425,"from:15,to:300",30715
00782V443727,"from:0,to:15",129
00782V443727,"from:15,to:300",32188
00598V1060635,"from:0,to:15",0
00598V1060635,"from:15,to:300",32262
83652V319725,"from:0,to:15",4
83652V319725,"from:15,to:300",32101
81441V443814,"from:0,to:15",147
81441V443814,"from:15,to:300",31870
81009V805718,"from:0,to:15",29
81009V805718,"from:15,to:300",31945
18468V578661,"from:0,to:15",347
18468V578661,"from:15,to:300",31609
04525V625637,"from:0,to:15",288
04525V625637,"from:15,to:300",31655
70603V2781358,"from:0,to:15",3
70603V2781358,"from:15,to:300",31890
38613V2620349,"from:0,to:15",43
38613V2620349,"from:15,to:300",31819
04293V1060674,"from:0,to:15",2
04293V1060674,"from:15,to:300",31851
77883V625445,"from:0,to:15",15
77883V625445,"from:15,to:300",31798
82010V1060713,"from:0,to:15",2
82010V1060713,"from:15,to:300",31630
43259V2078119,"from:0,to:15",3
43259V2078119,"from:15,to:300",31608
67055V804829,"from:0,to:15",2
67055V804829,"from:15,to:300",31513
41838V1060046,"from:0,to:15",1
41838V1060046,"from:15,to:300",31492
37830V443804,"from:0,to:15",1872
37830V443804,"from:15,to:300",29590
20188V805723,"from:0,to:15",0
20188V805723,"from:15,to:300",31451
75122V249425,"from:0,to:15",2
75122V249425,"from:15,to:300",31418
37345V1742835,"from:0,to:15",2
37345V1742835,"from:15,to:300",31400
09390V384481,"from:0,to:15",5
09390V384481,"from:15,to:300",31387
20586V2721334,"from:0,to:15",1
20586V2721334,"from:15,to:300",31352
32426V249052,"from:0,to:15",84
32426V249052,"from:15,to:300",31208
28120V1126319,"from:0,to:15",24
28120V1126319,"from:15,to:300",31173
25046V805611,"from:0,to:15",0
25046V805611,"from:15,to:300",31169
44415V319821,"from:0,to:15",7
44415V319821,"from:15,to:300",31103
65057V1175860,"from:0,to:15",153
65057V1175860,"from:15,to:300",30908
30202V2680855,"from:0,to:15",3
30202V2680855,"from:15,to:300",30983
30204V805725,"from:0,to:15",18
30204V805725,"from:15,to:300",30840
16947V121800,"from:0,to:15",1
16947V121800,"from:15,to:300",30835
41275V625443,"from:0,to:15",1300
41275V625443,"from:15,to:300",29522
76967V2523547,"from:0,to:15",137
76967V2523547,"from:15,to:300",30641
04300V72813,"from:0,to:15",187
04300V72813,"from:15,to:300",30550
63829V805140,"from:0,to:15",8
63829V805140,"from:15,to:300",30720
17790V930593,"from:0,to:15",33
17790V930593,"from:15,to:300",30651
70836V249525,"from:0,to:15",2
70836V249525,"from:15,to:300",30631
22439V804830,"from:0,to:15",31
22439V804830,"from:15,to:300",30568
49038V22216,"from:0,to:15",2
49038V22216,"from:15,to:300",30364
65393V249554,"from:0,to:15",2
65393V249554,"from:15,to:300",30317
01581V249554,"from:0,to:15",1
01581V249554,"from:15,to:300",30263
86022V521170,"from:0,to:15",2
86022V521170,"from:15,to:300",30237
07805V2439708,"from:0,to:15",3142
07805V2439708,"from:15,to:300",27090
74109V1175578,"from:0,to:15",10
74109V1175578,"from:15,to:300",30218
54674V971471,"from:0,to:15",1
54674V971471,"from:15,to:300",30224
63083V2680826,"from:0,to:15",1
63083V2680826,"from:15,to:300",30163
60071V21853,"from:0,to:15",73
60071V21853,"from:15,to:300",30061
74808V805815,"from:0,to:15",125
74808V805815,"from:15,to:300",29954
05252V705044,"from:0,to:15",15
05252V705044,"from:15,to:300",30061
62672V491082,"from:0,to:15",386
62672V491082,"from:15,to:300",29650
00885V578661,"from:0,to:15",0
00885V578661,"from:15,to:300",30012
00754V443728,"from:0,to:15",7
00754V443728,"from:15,to:300",29949
78777V319712,"from:0,to:15",116
78777V319712,"from:15,to:300",29804
03598V1175477,"from:0,to:15",7
03598V1175477,"from:15,to:300",29882
33685V3109883,"from:0,to:15",1943
33685V3109883,"from:15,to:300",27944
96288V1944365,"from:0,to:15",168
96288V1944365,"from:15,to:300",29719
73283V1955438,"from:0,to:15",6
73283V1955438,"from:15,to:300",29863
22958V2216061,"from:0,to:15",2
22958V2216061,"from:15,to:300",29763
79324V1175755,"from:0,to:15",123
79324V1175755,"from:15,to:300",29631
67354V21986,"from:0,to:15",0
67354V21986,"from:15,to:300",29726
56322V444263,"from:0,to:15",0
56322V444263,"from:15,to:300",29723
93714V443439,"from:0,to:15",0
93714V443439,"from:15,to:300",29665
06377V1175851,"from:0,to:15",1
06377V1175851,"from:15,to:300",29560
98389V1201959,"from:0,to:15",1
98389V1201959,"from:15,to:300",29500
85965V2518810,"from:0,to:15",801
85965V2518810,"from:15,to:300",28692
92838V1175672,"from:0,to:15",10
92838V1175672,"from:15,to:300",29482
78845V804838,"from:0,to:15",164
78845V804838,"from:15,to:300",29274
37541V805680,"from:0,to:15",0
37541V805680,"from:15,to:300",29394
97860V249525,"from:0,to:15",0
97860V249525,"from:15,to:300",29383
00241V1175824,"from:0,to:15",0
00241V1175824,"from:15,to:300",29364
04274V705260,"from:0,to:15",932
04274V705260,"from:15,to:300",28339
56025V2078107,"from:0,to:15",233
56025V2078107,"from:15,to:300",28986
44851V249053,"from:0,to:15",0
44851V249053,"from:15,to:300",29212
04891V1175827,"from:0,to:15",3
04891V1175827,"from:15,to:300",29194
94975V2411852,"from:0,to:15",87
94975V2411852,"from:15,to:300",29068
40272V705192,"from:0,to:15",14
40272V705192,"from:15,to:300",29068
49741V249595,"from:0,to:15",0
49741V249595,"from:15,to:300",29081
12639V384495,"from:0,to:15",2
12639V384495,"from:15,to:300",28895
80190V443670,"from:0,to:15",2
80190V443670,"from:15,to:300",28801
24748V22148,"from:0,to:15",0
24748V22148,"from:15,to:300",28791
30128V121328,"from:0,to:15",298
30128V121328,"from:15,to:300",28490
59675V319722,"from:0,to:15",43
59675V319722,"from:15,to:300",28692
77175V1219583,"from:0,to:15",4
77175V1219583,"from:15,to:300",28684
58400V2721295,"from:0,to:15",6
58400V2721295,"from:15,to:300",28636
38023V625278,"from:0,to:15",0
38023V625278,"from:15,to:300",28638
18257V319514,"from:0,to:15",5
18257V319514,"from:15,to:300",28627
87642V971416,"from:0,to:15",14
87642V971416,"from:15,to:300",28594
74343V705192,"from:0,to:15",2
74343V705192,"from:15,to:300",28559
76778V704564,"from:0,to:15",22
76778V704564,"from:15,to:300",28508
27366V805728,"from:0,to:15",6
27366V805728,"from:15,to:300",28449
38918V704659,"from:0,to:15",35
